Country,Code,Year,Life_expectancy,GDP_PPP,Population,Fertility_rate,Region,Religion
Congo,COG,2015,63.097,4.5,4.9,4.721,Africa,Christianity
Honduras,HND,2015,74.495,4.4,9.1,2.507,North America,Christianity
Palestine,PSE,2015,73.442,4.4,4.5,4.075,Asia,Islam
Ghana,GHA,2015,62.772,3.7,27.8,4.042,Africa,Christianity
Sudan,SDN,2015,64.429,3.7,38.9,4.595,Africa,Islam
Sao Tome and Principe,STP,2015,69.377,3.6,0.2,4.518,Africa,Christianity
Cote d'Ivoire,CIV,2015,56.065,3.5,23.2,4.976,Africa,Christianity
Syria,SYR,2015,69.908,3.5,18,2.966,Asia,Islam
Zambia,ZMB,2015,61.737,3.5,15.9,5.041,Africa,Christianity
Tajikistan,TJK,2015,70.137,3.4,8.5,3.404,Asia,Islam
Djibouti,DJI,2015,64.136,3.3,0.9,2.913,Africa,Islam
Mauritania,MRT,2015,63.936,3.3,4,4.736,Africa,Islam
Bangladesh,BGD,2015,71.514,3.1,156.3,2.133,Asia,Islam
Cambodia,KHM,2015,68.637,3.1,15.5,2.594,Asia,Other
Kenya,KEN,2015,64.798,3.1,47.9,3.917,Africa,Christianity
Lesotho,LSO,2015,51.038,3,2.1,3.143,Africa,Christianity
Cameroon,CMR,2015,57.583,2.8,23.3,4.778,Africa,Christianity
Nepal,NPL,2015,69.515,2.6,27,2.162,Asia,Other
Yemen,YEM,2015,66.085,2.5,26.5,4.104,Asia,Islam
Chad,TCD,2015,53.137,2.4,14.1,6.05,Africa,Islam
Senegal,SEN,2015,66.747,2.4,14.6,4.84,Africa,Islam
Tanzania,TZA,2015,63.111,2.4,51.5,5.079,Africa,Christianity
Benin,BEN,2015,60.608,2.1,10.6,5.048,Africa,Christianity
Afghanistan,AFG,2015,63.377,1.9,34.4,4.802,Asia,Islam
Gambia,GMB,2015,60.91,1.9,2.1,5.488,Africa,Islam
Uganda,UGA,2015,61.373,1.9,38.2,5.682,Africa,Christianity
Zimbabwe,ZWE,2015,59.534,1.8,13.8,3.836,Africa,Christianity
Comoros,COM,2015,63.471,1.7,0.8,4.42,Africa,Islam
North Korea,PRK,2015,71.481,1.7,25.2,1.921,Asia,Other
Rwanda,RWA,2015,67.45,1.7,11.4,3.967,Africa,Christianity
Ethiopia,ETH,2015,65.048,1.6,100.8,4.317,Africa,Christianity
Guinea,GIN,2015,59.598,1.6,11.4,4.934,Africa,Islam
Haiti,HTI,2015,62.485,1.6,10.7,2.973,North America,Christianity
Mali,MLI,2015,57.509,1.6,17.4,6.145,Africa,Islam
Burkina Faso,BFA,2015,59.919,1.5,18.1,5.436,Africa,Islam
Togo,TGO,2015,59.927,1.5,7.3,4.517,Africa,Christianity
Guinea-Bissau,GNB,2015,56.959,1.3,1.7,4.71,Africa,Islam
Madagascar,MDG,2015,65.539,1.3,24.2,4.241,Africa,Christianity
Mozambique,MOZ,2015,57.206,1.3,27,5.305,Africa,Christianity
Malawi,MWI,2015,61.953,1,16.7,4.646,Africa,Christianity
Sierra Leone,SLE,2015,52.941,1,7.2,4.561,Africa,Islam
Niger,NER,2015,60.631,0.9,20,7.29,Africa,Islam
Democratic Republic of Congo,COD,2015,59.254,0.8,76.2,6.202,Africa,Christianity
Liberia,LBR,2015,62.269,0.8,4.5,4.65,Africa,Christianity
Burundi,BDI,2015,60.123,0.7,10.2,5.781,Africa,Christianity
Central African Republic,CAF,2015,50.881,0.6,4.5,4.94,Africa,Christianity
